counter,key
5,0_histogram_10
5,0_histogram_20
4,0_histogram_5
5,0_topic-in-a-box_10
4,0_topic-in-a-box_20
4,0_topic-in-a-box_5
9,0_word_10
5,0_word_20
6,0_word_5
5,0_wordcloud_10
5,0_wordcloud_20
7,0_wordcloud_5
4,10_histogram_10
5,10_histogram_20
4,10_histogram_5
5,10_topic-in-a-box_10
3,10_topic-in-a-box_20
5,10_topic-in-a-box_5
5,10_word_10
5,10_word_20
5,10_word_5
5,10_wordcloud_10
5,10_wordcloud_20
5,10_wordcloud_5
4,11_histogram_10
4,11_histogram_20
4,11_histogram_5
5,11_topic-in-a-box_10
3,11_topic-in-a-box_5
5,11_word_10
6,11_word_20
5,11_word_5
1,11_wordcloud_10
3,11_wordcloud_20
5,11_wordcloud_5
5,12_histogram_10
4,12_histogram_20
5,12_histogram_5
5,12_topic-in-a-box_10
3,12_topic-in-a-box_20
4,12_topic-in-a-box_5
6,12_word_10
5,12_word_20
5,12_word_5
5,12_wordcloud_10
5,12_wordcloud_20
5,12_wordcloud_5
4,13_histogram_10
5,13_histogram_20
4,13_histogram_5
5,13_topic-in-a-box_10
5,13_topic-in-a-box_20
5,13_topic-in-a-box_5
5,13_word_10
5,13_word_20
5,13_word_5
5,13_wordcloud_10
5,13_wordcloud_20
5,13_wordcloud_5
5,14_histogram_10
5,14_histogram_20
5,14_histogram_5
5,14_topic-in-a-box_10
3,14_topic-in-a-box_20
4,14_topic-in-a-box_5
11,14_word_10
5,14_word_20
5,14_word_5
5,14_wordcloud_10
3,14_wordcloud_20
5,14_wordcloud_5
5,15_histogram_10
5,15_histogram_20
4,15_histogram_5
5,15_topic-in-a-box_10
5,15_topic-in-a-box_20
5,15_topic-in-a-box_5
5,15_word_10
5,15_word_20
5,15_word_5
5,15_wordcloud_10
6,15_wordcloud_20
5,15_wordcloud_5
5,16_histogram_10
5,16_histogram_20
5,16_histogram_5
5,16_topic-in-a-box_10
3,16_topic-in-a-box_20
4,16_topic-in-a-box_5
5,16_word_10
5,16_word_20
5,16_word_5
5,16_wordcloud_10
5,16_wordcloud_20
5,16_wordcloud_5
5,17_histogram_10
4,17_histogram_20
5,17_histogram_5
5,17_topic-in-a-box_10
3,17_topic-in-a-box_20
4,17_topic-in-a-box_5
5,17_word_10
8,17_word_20
5,17_word_5
5,17_wordcloud_10
5,17_wordcloud_20
5,17_wordcloud_5
4,18_histogram_10
