usercode,created,timestamp,answers,version,mode,key,wordNum,randomImage_idx
O3YL8D4T,2015-03-09T04:08:43,"[""2015-03-09T04:00:22.146Z"",""2015-03-09T04:02:01.990Z"",""2015-03-09T04:03:32.684Z"",""2015-03-09T04:04:47.087Z"",""2015-03-09T04:06:43.499Z"",""2015-03-09T04:08:43.509Z""]","[{""topicIndex"":""1"",""mode"":""histogram"",""short"":""State Health care "",""long"":""How is health care affecting our taxes this year."",""conf"":""2"",""duration"":99.844},{""topicIndex"":""0"",""mode"":""histogram"",""short"":""smoking in heat"",""long"":""How heat affects smokers."",""conf"":""1"",""duration"":90.694},{""topicIndex"":""3"",""mode"":""histogram"",""short"":""catholic church issues"",""long"":""How the catholic church reverend is in trouble."",""conf"":""2"",""duration"":74.403},{""topicIndex"":""2"",""mode"":""histogram"",""short"":""millions television series"",""long"":""millions watch tv news series"",""conf"":""2"",""duration"":116.412},{""topicIndex"":""9"",""mode"":""histogram"",""short"":""world ski mountain"",""long"":""How the world views people who ski across the skates"",""conf"":""2"",""duration"":120.01}]",4,histogram,4503925508014080,5,1
X13QUNZT,2015-03-05T21:51:23,"[""2015-03-05T21:49:25.310Z"",""2015-03-05T21:49:51.027Z"",""2015-03-05T21:50:13.604Z"",""2015-03-05T21:50:30.522Z"",""2015-03-05T21:50:46.993Z"",""2015-03-05T21:51:09.222Z""]","[{""topicIndex"":""24"",""mode"":""wordcloud"",""short"":""Football game"",""long"":""This seems the superbowl."",""conf"":""4"",""duration"":25.717},{""topicIndex"":""8"",""mode"":""wordcloud"",""short"":""Payroll"",""long"":""This is a payroll company."",""conf"":""3"",""duration"":22.577},{""topicIndex"":""2"",""mode"":""wordcloud"",""short"":""News"",""long"":""This is how we receive news."",""conf"":""4"",""duration"":16.918},{""topicIndex"":""17"",""mode"":""wordcloud"",""short"":""Judicial System"",""long"":""This is the judicial system."",""conf"":""4"",""duration"":16.471},{""topicIndex"":""47"",""mode"":""wordcloud"",""short"":""Government"",""long"":""These are issues our government deals with."",""conf"":""4"",""duration"":22.229}]",4,wordcloud,4511228563030016,20,2
JWNM29BB,2015-03-03T02:38:06,"[""2015-03-03T02:35:45.520Z"",""2015-03-03T02:36:23.381Z"",""2015-03-03T02:36:53.810Z"",""2015-03-03T02:37:17.010Z"",""2015-03-03T02:37:45.585Z"",""2015-03-03T02:38:08.249Z"",""2015-03-03T02:38:10.546Z""]","[{""topicIndex"":""46"",""mode"":""histogram"",""short"":""address"",""long"":""the address of a fre arts center"",""conf"":""4"",""duration"":37.861},{""topicIndex"":""8"",""mode"":""histogram"",""short"":""time"",""long"":""amount of time the market has geown each year"",""conf"":""3"",""duration"":30.429},{""topicIndex"":""38"",""mode"":""histogram"",""short"":""tennis"",""long"":""us open final winner serena williams"",""conf"":""4"",""duration"":23.2},{""topicIndex"":""43"",""mode"":""histogram"",""short"":""family"",""long"":""youg women and men and children"",""conf"":""4"",""duration"":28.575},{""topicIndex"":""17"",""mode"":""histogram"",""short"":""court case"",""long"":""federal court cse with a judge"",""conf"":""4"",""duration"":22.664}]",4,histogram,4512162986852352,5,1
T0OC8ISM,2015-03-03T07:22:32,"[""2015-03-03T07:17:11.419Z"",""2015-03-03T07:19:00.425Z"",""2015-03-03T07:19:47.562Z"",""2015-03-03T07:20:58.219Z"",""2015-03-03T07:21:38.762Z"",""2015-03-03T07:22:30.233Z""]","[{""topicIndex"":""32"",""mode"":""histogram"",""short"":""War Novel"",""long"":""An excerpt about a soldier or an author who wrote a war novel."",""conf"":""4"",""duration"":109.006},{""topicIndex"":""31"",""mode"":""histogram"",""short"":""Restaurant review"",""long"":""A review for a local restaurant."",""conf"":""3"",""duration"":47.137},{""topicIndex"":""27"",""mode"":""histogram"",""short"":""Foreign clothing design"",""long"":""An article about various styles of clothing around the world."",""conf"":""4"",""duration"":70.657},{""topicIndex"":""14"",""mode"":""histogram"",""short"":""Healthcare "",""long"":""Its about a local hospital."",""conf"":""4"",""duration"":40.543},{""topicIndex"":""0"",""mode"":""histogram"",""short"":""Healthcare"",""long"":""Negative effects of certain foods and habits."",""conf"":""3"",""duration"":51.471}]",4,histogram,4517085824679936,20,4
7WHJILBZ,2015-03-05T15:51:01,"[""2015-03-05T15:46:27.217Z"",""2015-03-05T15:47:24.474Z"",""2015-03-05T15:47:58.514Z"",""2015-03-05T15:48:27.794Z"",""2015-03-05T15:49:44.027Z"",""2015-03-05T15:50:47.136Z""]","[{""topicIndex"":""20"",""mode"":""wordcloud"",""short"":""government"",""long"":""words used to describe state or city government"",""conf"":""4"",""duration"":57.257},{""topicIndex"":""12"",""mode"":""wordcloud"",""short"":""technology"",""long"":""words used to describe companies that operate on the web"",""conf"":""3"",""duration"":34.04},{""topicIndex"":""5"",""mode"":""wordcloud"",""short"":""tourism"",""long"":""Words used to describe a night on the town."",""conf"":""4"",""duration"":29.28},{""topicIndex"":""4"",""mode"":""wordcloud"",""short"":""Newyork"",""long"":""words describing watching theater in New York"",""conf"":""4"",""duration"":76.233},{""topicIndex"":""22"",""mode"":""wordcloud"",""short"":""home life"",""long"":""words used to describe home life"",""conf"":""4"",""duration"":63.109}]",4,wordcloud,4518931318439936,10,2
6B754Z6W,2015-03-05T18:23:21,"[""2015-03-05T18:21:11.082Z"",""2015-03-05T18:21:32.038Z"",""2015-03-05T18:22:06.709Z"",""2015-03-05T18:22:23.188Z"",""2015-03-05T18:22:47.325Z"",""2015-03-05T18:23:20.934Z""]","[{""topicIndex"":""11"",""mode"":""wordcloud"",""short"":""opinions"",""long"":""I have no idea!"",""conf"":""1"",""duration"":20.956},{""topicIndex"":""18"",""mode"":""wordcloud"",""short"":""California"",""long"":""Something having to do with California"",""conf"":""3"",""duration"":34.671},{""topicIndex"":""21"",""mode"":""wordcloud"",""short"":""news"",""long"":""What is being said in the news."",""conf"":""3"",""duration"":16.479},{""topicIndex"":""14"",""mode"":""wordcloud"",""short"":""health"",""long"":""Drugs to treat medical conditions"",""conf"":""3"",""duration"":24.137},{""topicIndex"":""19"",""mode"":""wordcloud"",""short"":""books"",""long"":""Historical biography review"",""conf"":""3"",""duration"":33.609}]",4,wordcloud,4520786744311808,5,4
2YABPVND,2015-03-03T12:46:40,"[""2015-03-03T12:44:47.297Z"",""2015-03-03T12:45:20.785Z"",""2015-03-03T12:45:39.730Z"",""2015-03-03T12:46:01.086Z"",""2015-03-03T12:46:16.627Z"",""2015-03-03T12:46:37.562Z""]","[{""topicIndex"":""42"",""mode"":""word"",""short"":""Death of spouse"",""long"":""It is about the death of someone and his wife"",""conf"":""4"",""duration"":33.488},{""topicIndex"":""45"",""mode"":""word"",""short"":"" Car article"",""long"":""Descriptions of cars"",""conf"":""3"",""duration"":18.945},{""topicIndex"":""15"",""mode"":""word"",""short"":""Art exhibit"",""long"":""An exhibition of some art and films"",""conf"":""4"",""duration"":21.356},{""topicIndex"":""36"",""mode"":""word"",""short"":""New park"",""long"":""The town is building a new park"",""conf"":""2"",""duration"":15.541},{""topicIndex"":""7"",""mode"":""word"",""short"":""House building"",""long"":""A house is being built"",""conf"":""2"",""duration"":20.935}]",4,word,4521410588311552,5,1
AYZIG0UZ,2015-03-04T16:37:39,"[""2015-03-04T16:32:09.884Z"",""2015-03-04T16:33:03.146Z"",""2015-03-04T16:34:59.221Z"",""2015-03-04T16:36:39.561Z"",""2015-03-04T16:37:10.008Z"",""2015-03-04T16:37:39.179Z""]","[{""topicIndex"":""3"",""mode"":""histogram"",""short"":""Religious Views"",""long"":""Discussion of religious views and the differences between them"",""conf"":""4"",""duration"":53.262},{""topicIndex"":""15"",""mode"":""histogram"",""short"":""Film and Entertainment"",""long"":""Discussion of a documentary and the people and places involved"",""conf"":""2"",""duration"":116.075},{""topicIndex"":""36"",""mode"":""histogram"",""short"":""Construction"",""long"":""New York City Landscape and construction"",""conf"":""3"",""duration"":100.34},{""topicIndex"":""48"",""mode"":""histogram"",""short"":""Baseball League"",""long"":""MLB Baseball Discussion of contracts"",""conf"":""4"",""duration"":30.447},{""topicIndex"":""4"",""mode"":""histogram"",""short"":""New York City"",""long"":""New York City shows and neighborhoods"",""conf"":""4"",""duration"":29.171}]",4,histogram,4524601212141568,20,2
DZQO8686,2015-03-03T07:39:36,"[""2015-03-03T07:36:34.559Z"",""2015-03-03T07:37:14.528Z"",""2015-03-03T07:37:58.526Z"",""2015-03-03T07:38:24.192Z"",""2015-03-03T07:38:39.330Z"",""2015-03-03T07:38:58.587Z""]","[{""topicIndex"":""33"",""mode"":""histogram"",""short"":""People Like things"",""long"":""People like things that are better as they age."",""conf"":""4"",""duration"":39.969},{""topicIndex"":""18"",""mode"":""histogram"",""short"":""California City"",""long"":""The terms of San Francisco and Los Angeles"",""conf"":""5"",""duration"":43.998},{""topicIndex"":""2"",""mode"":""histogram"",""short"":""News Series"",""long"":""A news series that is on television and the radio with a million viewers."",""conf"":""4"",""duration"":25.666},{""topicIndex"":""45"",""mode"":""histogram"",""short"":""Ford Car"",""long"":""The For automobile."",""conf"":""4"",""duration"":15.138},{""topicIndex"":""43"",""mode"":""histogram"",""short"":""People"",""long"":""Men, Women, and young children."",""conf"":""4"",""duration"":19.257}]",4,histogram,4528339175866368,5,1
GOTDL79X,2015-03-03T04:38:40,"[""2015-03-03T04:35:02.586Z"",""2015-03-03T04:35:50.848Z"",""2015-03-03T04:36:37.989Z"",""2015-03-03T04:37:12.788Z"",""2015-03-03T04:37:59.209Z"",""2015-03-03T04:38:40.993Z""]","[{""topicIndex"":""26"",""mode"":""word"",""short"":""Jazz music"",""long"":""Jazz songs are music that are recorded on albums."",""conf"":""5"",""duration"":48.262},{""topicIndex"":""2"",""mode"":""word"",""short"":""Newscasts are prevalent "",""long"":""There are a million types of getting the news now, including on TV and the radio"",""conf"":""4"",""duration"":47.141},{""topicIndex"":""44"",""mode"":""word"",""short"":""Performing arts"",""long"":""Dancing and singing performing arts are performed in a theater"",""conf"":""4"",""duration"":34.799},{""topicIndex"":""21"",""mode"":""word"",""short"":""Public opinions"",""long"":""Public opinions are not always news or focused on the issues"",""conf"":""3"",""duration"":46.421},{""topicIndex"":""34"",""mode"":""word"",""short"":""Snowfall on trees"",""long"":""Snow melts off of trees when it gets warmer in the winter"",""conf"":""5"",""duration"":41.784}]",4,word,4528935371014144,5,5
