topicIdx,updated,usercode,created,shortOrLong,players,done,key,wordNum,duration,worst,best
32,,,2015-03-22T01:37:39,short,"[u'32-5-word-1-short', u'32-5-histogram-2-short', u'32-5-wordcloud-3-short', u'32-5-topic-in-a-box-4-short']",False,4504477411311616,5,,,
8,2015-03-15T02:13:28,P1YQCFGT,2015-03-15T02:05:52,long,"[u'8-5-word-3-long', u'8-5-histogram-3-long', u'8-5-wordcloud-3-long', u'8-5-topic-in-a-box-3-long']",True,4504785575215104,5,50.595,[u'8-5-wordcloud-3-long'],[u'8-5-word-3-long']
0,2015-03-22T01:46:34,1AUA4IEC,2015-03-22T01:35:08,long,"[u'0-20-word-2-long', u'0-20-histogram-3-long', u'0-20-wordcloud-4-long', u'0-20-topic-in-a-box-0-long']",True,4504866374287360,20,48.082,[u'0-20-word-2-long'],[u'0-20-histogram-3-long']
42,2015-03-15T02:13:28,P1YQCFGT,2015-03-15T02:07:39,short,"[u'42-10-word-3-short', u'42-10-histogram-3-short', u'42-10-wordcloud-3-short', u'42-10-topic-in-a-box-3-short']",True,4507414095200256,10,25.174,[u'algorithm'],[u'42-10-word-3-short']
24,2015-03-15T02:13:28,P1YQCFGT,2015-03-15T02:06:49,short,"[u'24-5-word-1-short', u'24-5-histogram-1-short', u'24-5-wordcloud-1-short', u'24-5-topic-in-a-box-1-short']",True,4509939535970304,5,90.864,[u'24-5-wordcloud-1-short'],[u'algorithm']
8,2015-03-15T02:13:28,P1YQCFGT,2015-03-15T02:05:52,short,"[u'8-10-word-3-short', u'8-10-histogram-3-short', u'8-10-wordcloud-3-short', u'8-10-topic-in-a-box-3-short']",True,4510719340969984,10,55.678,[u'algorithm'],[u'8-10-wordcloud-3-short']
39,2015-03-15T02:13:28,P1YQCFGT,2015-03-15T02:07:21,short,"[u'39-10-word-2-short', u'39-10-histogram-2-short', u'39-10-wordcloud-2-short', u'39-10-topic-in-a-box-2-short']",True,4510844968763392,10,59.669,[u'39-10-wordcloud-2-short'],[u'39-10-word-2-short']
21,2015-03-16T16:45:53,EF8TU83Y,2015-03-15T02:06:45,short,"[u'21-20-word-0-short', u'21-20-histogram-0-short', u'21-20-wordcloud-0-short', u'21-20-topic-in-a-box-0-short']",True,4511869855334400,20,591.704,[u'algorithm'],"[u'21-20-histogram-0-short', u'21-20-wordcloud-0-short']"
4,2015-03-22T01:49:21,KHDQ8Q6Y,2015-03-22T01:35:14,long,"[u'4-10-word-2-long', u'4-10-histogram-3-long', u'4-10-wordcloud-4-long', u'4-10-topic-in-a-box-0-long']",True,4512912190210048,10,25.493,[u'4-10-word-2-long'],[u'4-10-topic-in-a-box-0-long']
21,2015-03-16T16:45:53,EF8TU83Y,2015-03-15T02:06:45,short,"[u'21-10-word-1-short', u'21-10-histogram-1-short', u'21-10-wordcloud-1-short', u'21-10-topic-in-a-box-1-short']",True,4513263303786496,10,23.479,[u'21-10-topic-in-a-box-1-short'],[u'21-10-word-1-short']
45,2015-03-22T01:51:41,KWKPWXMC,2015-03-22T01:38:07,long,"[u'45-5-word-1-long', u'45-5-histogram-2-long', u'45-5-wordcloud-3-long', u'45-5-topic-in-a-box-4-long']",True,4513933318684672,5,24.003,[u'45-5-topic-in-a-box-4-long'],[u'45-5-word-1-long']
17,2015-03-22T01:52:40,C7O5R3L9,2015-03-22T01:36:41,short,"[u'17-20-word-3-short', u'17-20-histogram-4-short', u'17-20-wordcloud-0-short', u'17-20-topic-in-a-box-1-short']",True,4514216249655296,20,30.295,[u'algorithm'],[u'17-20-topic-in-a-box-1-short']
37,2015-03-22T01:48:41,FQAFUNNN,2015-03-22T01:37:47,long,"[u'37-10-word-3-long', u'37-10-histogram-4-long', u'37-10-wordcloud-0-long', u'37-10-topic-in-a-box-1-long']",True,4514714197426176,10,28.224,[u'37-10-topic-in-a-box-1-long'],[u'37-10-word-3-long']
6,2015-03-16T16:45:53,EF8TU83Y,2015-03-15T02:05:50,short,"[u'6-20-word-1-short', u'6-20-histogram-1-short', u'6-20-wordcloud-1-short', u'6-20-topic-in-a-box-1-short']",True,4514750973083648,20,60.802,[u'6-20-wordcloud-1-short'],[u'algorithm']
21,2015-03-22T01:44:37,JV3DMHZF,2015-03-22T01:36:56,long,"[u'21-20-word-0-long', u'21-20-histogram-1-long', u'21-20-wordcloud-2-long', u'21-20-topic-in-a-box-3-long']",True,4517447675674624,20,110.88,[u'21-20-word-0-long'],[u'21-20-histogram-1-long']
16,2015-03-22T01:55:00,WP409CVW,2015-03-22T01:36:38,long,"[u'16-10-word-2-long', u'16-10-histogram-3-long', u'16-10-wordcloud-4-long', u'16-10-topic-in-a-box-0-long']",True,4517600415449088,10,35.99,[u'16-10-wordcloud-4-long'],[u'16-10-topic-in-a-box-0-long']
12,,,2015-03-22T01:36:33,long,"[u'12-20-word-4-long', u'12-20-histogram-0-long', u'12-20-wordcloud-1-long', u'12-20-topic-in-a-box-2-long']",False,4518152587182080,20,,,
30,2015-03-22T02:02:48,JT306IH8,2015-03-22T01:37:37,short,"[u'30-5-word-3-short', u'30-5-histogram-4-short', u'30-5-wordcloud-0-short', u'30-5-topic-in-a-box-1-short']",True,4519911913160704,5,35.226,[u'algorithm'],[u'30-5-word-3-short']
22,2015-03-16T16:45:53,EF8TU83Y,2015-03-15T02:06:46,long,"[u'22-10-word-0-long', u'22-10-histogram-0-long', u'22-10-wordcloud-0-long', u'22-10-topic-in-a-box-0-long']",True,4520059552661504,10,146.003,[u'22-10-word-0-long'],[u'22-10-topic-in-a-box-0-long']
40,2015-03-16T16:45:53,EF8TU83Y,2015-03-15T02:07:36,long,"[u'40-5-word-0-long', u'40-5-histogram-0-long', u'40-5-wordcloud-0-long', u'40-5-topic-in-a-box-0-long']",True,4520538173079552,5,81.116,[u'40-5-wordcloud-0-long'],[u'40-5-histogram-0-long']
47,2015-03-22T01:44:37,JV3DMHZF,2015-03-22T01:38:11,short,"[u'47-20-word-3-short', u'47-20-histogram-4-short', u'47-20-wordcloud-0-short', u'47-20-topic-in-a-box-1-short']",True,4520700844965888,20,46.328,[u'47-20-wordcloud-0-short'],[u'algorithm']
6,2015-03-18T06:23:42,DNPC65BG,2015-03-15T02:05:50,short,"[u'6-20-word-0-short', u'6-20-histogram-0-short', u'6-20-wordcloud-0-short', u'6-20-topic-in-a-box-0-short']",True,4521097324134400,20,16.67,[u'6-20-histogram-0-short'],[u'algorithm']
26,2015-03-19T00:59:00,Z68TFBHJ,2015-03-15T02:06:53,long,"[u'26-20-word-4-long', u'26-20-histogram-4-long', u'26-20-wordcloud-4-long', u'26-20-topic-in-a-box-4-long']",True,4521972155285504,20,22.113,[u'26-20-word-4-long'],[u'26-20-topic-in-a-box-4-long']
45,2015-03-22T02:02:22,AIQG1I0A,2015-03-22T01:38:08,long,"[u'45-10-word-0-long', u'45-10-histogram-1-long', u'45-10-wordcloud-2-long', u'45-10-topic-in-a-box-3-long']",True,4522307162734592,10,32.308,[u'45-10-topic-in-a-box-3-long'],[u'45-10-histogram-1-long']
20,,,2015-03-22T01:36:55,short,"[u'20-20-word-4-short', u'20-20-histogram-0-short', u'20-20-wordcloud-1-short', u'20-20-topic-in-a-box-2-short']",False,4522377761259520,20,,,
8,2015-03-19T04:14:23,OEXHGOT1,2015-03-15T02:05:52,short,"[u'8-10-word-0-short', u'8-10-histogram-0-short', u'8-10-wordcloud-0-short', u'8-10-topic-in-a-box-0-short']",True,4523012342677504,10,46.242,[u'algorithm'],[u'8-10-histogram-0-short']
