validation_code,key,evalResults
O86IDRTS,4508497500700672,"[{""eID"":""4845367354982400"",""topicIdx"":""0"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""0-20-word-1-short""],""worst"":[""0-20-histogram-2-short""],""duration"":148.961,""memo"":""dummy""},{""eID"":""5127631263498240"",""topicIdx"":""15"",""wordNum"":""5"",""shortOrLong"":""long"",""best"":[""15-5-topic-in-a-box-4-long""],""worst"":[""15-5-histogram-2-long""],""duration"":202.943,""memo"":""real""},{""eID"":""4824862644240384"",""topicIdx"":""16"",""wordNum"":""20"",""shortOrLong"":""long"",""best"":[""16-20-word-2-long""],""worst"":[""16-20-histogram-3-long""],""duration"":211.056,""memo"":""real""},{""eID"":""4610268092956672"",""topicIdx"":""32"",""wordNum"":""20"",""shortOrLong"":""long"",""best"":[""32-20-word-4-long""],""worst"":[""32-20-wordcloud-1-long""],""duration"":109.979,""memo"":""real""},{""eID"":""4892482340913152"",""topicIdx"":""3"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""3-5-word-1-short"",""3-5-histogram-2-short"",""3-5-wordcloud-3-short"",""3-5-topic-in-a-box-4-short""],""worst"":[""algorithm""],""duration"":51.198,""memo"":""real""}]"
GDVZO610,4552784787537920,"[{""eID"":""6106026155704320"",""topicIdx"":""25"",""wordNum"":""10"",""shortOrLong"":""short"",""best"":[""25-10-histogram-2-short""],""worst"":[""25-10-word-1-short""],""duration"":108.43,""memo"":""dummy""},{""eID"":""6686146046197760"",""topicIdx"":""16"",""wordNum"":""10"",""shortOrLong"":""short"",""best"":[""16-10-wordcloud-1-short""],""worst"":[""16-10-histogram-0-short""],""duration"":140.796,""memo"":""real""},{""eID"":""6141527550066688"",""topicIdx"":""40"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""40-5-histogram-3-short"",""40-5-wordcloud-4-short""],""worst"":[""40-5-word-2-short""],""duration"":89.04,""memo"":""real""},{""eID"":""6402784236666880"",""topicIdx"":""12"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""12-20-word-3-short""],""worst"":[""algorithm""],""duration"":51.075,""memo"":""real""},{""eID"":""6576754571345920"",""topicIdx"":""14"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""14-5-histogram-2-short""],""worst"":[""14-5-word-1-short""],""duration"":70.899,""memo"":""real""}]"
60RRLUY6,4557562133348352,"[{""eID"":""6666784870498304"",""topicIdx"":""37"",""wordNum"":""20"",""shortOrLong"":""long"",""best"":[""37-20-word-2-long""],""worst"":[""37-20-histogram-3-long""],""duration"":34.145,""memo"":""real""},{""eID"":""6317415319207936"",""topicIdx"":""8"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""8-5-histogram-1-short""],""worst"":[""8-5-word-0-short""],""duration"":16.414,""memo"":""dummy""},{""eID"":""6372185815908352"",""topicIdx"":""34"",""wordNum"":""10"",""shortOrLong"":""long"",""best"":[""34-10-word-0-long""],""worst"":[""34-10-wordcloud-2-long""],""duration"":44.375,""memo"":""real""},{""eID"":""6704941359955968"",""topicIdx"":""1"",""wordNum"":""5"",""shortOrLong"":""long"",""best"":[""1-5-wordcloud-4-long""],""worst"":[""1-5-word-2-long""],""duration"":17.548,""memo"":""real""},{""eID"":""5995344043180032"",""topicIdx"":""40"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""40-5-histogram-0-short"",""40-5-topic-in-a-box-2-short""],""worst"":[""algorithm""],""duration"":17.196,""memo"":""real""}]"
4BXQUPM8,4599830785556480,"[{""eID"":""4909757504684032"",""topicIdx"":""32"",""wordNum"":""10"",""shortOrLong"":""long"",""best"":[""32-10-word-2-long""],""worst"":[""32-10-wordcloud-4-long""],""duration"":117.152,""memo"":""real""},{""eID"":""4858706986532864"",""topicIdx"":""18"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""18-20-word-4-short""],""worst"":[""18-20-wordcloud-1-short""],""duration"":31.526,""memo"":""dummy""},{""eID"":""5133157544230912"",""topicIdx"":""36"",""wordNum"":""10"",""shortOrLong"":""long"",""best"":[""36-10-histogram-3-long""],""worst"":[""36-10-word-2-long""],""duration"":52.559,""memo"":""real""},{""eID"":""5014958970503168"",""topicIdx"":""46"",""wordNum"":""10"",""shortOrLong"":""short"",""best"":[""46-10-word-3-short""],""worst"":[""46-10-wordcloud-0-short""],""duration"":36.032,""memo"":""real""},{""eID"":""4628565458944000"",""topicIdx"":""5"",""wordNum"":""10"",""shortOrLong"":""long"",""best"":[""5-10-word-3-long""],""worst"":[""5-10-wordcloud-0-long""],""duration"":43.346,""memo"":""real""}]"
VC50RWEP,4599865682165760,"[{""eID"":""5243251783106560"",""topicIdx"":""4"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""4-5-wordcloud-1-short""],""worst"":[""4-5-word-1-short""],""duration"":161.845,""memo"":""dummy""},{""eID"":""5717976934252544"",""topicIdx"":""9"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""9-5-histogram-4-short""],""worst"":[""9-5-word-4-short""],""duration"":107.628,""memo"":""real""},{""eID"":""5999451910963200"",""topicIdx"":""13"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""algorithm""],""worst"":[""13-5-wordcloud-3-short""],""duration"":68.398,""memo"":""real""},{""eID"":""6417387125473280"",""topicIdx"":""17"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""17-20-wordcloud-2-short""],""worst"":[""17-20-topic-in-a-box-2-short""],""duration"":34.02,""memo"":""real""},{""eID"":""5458068867383296"",""topicIdx"":""28"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""28-20-word-2-short""],""worst"":[""28-20-histogram-2-short""],""duration"":34.868,""memo"":""real""}]"
HD3BQ3YJ,4626650440400896,"[{""eID"":""6588773500452864"",""topicIdx"":""30"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""30-20-wordcloud-4-short""],""worst"":[""30-20-word-4-short""],""duration"":56.554,""memo"":""dummy""},{""eID"":""5359175903215616"",""topicIdx"":""12"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""12-20-topic-in-a-box-0-short""],""worst"":[""12-20-wordcloud-0-short""],""duration"":34.956,""memo"":""real""},{""eID"":""5455896150802432"",""topicIdx"":""14"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""14-20-wordcloud-3-short""],""worst"":[""algorithm""],""duration"":50.103,""memo"":""real""},{""eID"":""6458687530991616"",""topicIdx"":""1"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""1-20-histogram-1-short""],""worst"":[""1-20-topic-in-a-box-1-short""],""duration"":58.844,""memo"":""real""},{""eID"":""6203600833347584"",""topicIdx"":""9"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""9-20-word-1-short""],""worst"":[""9-20-wordcloud-1-short""],""duration"":49.641,""memo"":""real""}]"
AOLUSR6H,4640576334987264,"[{""eID"":""4774998610804736"",""topicIdx"":""22"",""wordNum"":""5"",""shortOrLong"":""long"",""best"":[""22-5-histogram-2-long""],""worst"":[""22-5-wordcloud-3-long""],""duration"":132.265,""memo"":""real""},{""eID"":""4897873061740544"",""topicIdx"":""37"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""37-5-wordcloud-1-short""],""worst"":[""37-5-histogram-0-short""],""duration"":31.694,""memo"":""dummy""},{""eID"":""5284901154717696"",""topicIdx"":""12"",""wordNum"":""10"",""shortOrLong"":""short"",""best"":[""12-10-word-1-short""],""worst"":[""12-10-topic-in-a-box-4-short""],""duration"":28.005,""memo"":""real""},{""eID"":""4939812880515072"",""topicIdx"":""30"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""30-20-histogram-1-short""],""worst"":[""algorithm""],""duration"":54.032,""memo"":""real""},{""eID"":""4721155558604800"",""topicIdx"":""24"",""wordNum"":""10"",""shortOrLong"":""long"",""best"":[""24-10-histogram-3-long""],""worst"":[""24-10-topic-in-a-box-0-long""],""duration"":25.915,""memo"":""real""}]"
VTWWOTSB,4648151583555584,"[{""eID"":""5860516429824000"",""topicIdx"":""49"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""49-20-topic-in-a-box-1-short""],""worst"":[""49-20-word-1-short""],""duration"":90.542,""memo"":""dummy""},{""eID"":""4969301589098496"",""topicIdx"":""15"",""wordNum"":""10"",""shortOrLong"":""long"",""best"":[""15-10-wordcloud-2-long""],""worst"":[""15-10-histogram-2-long""],""duration"":157.569,""memo"":""real""},{""eID"":""5627386947174400"",""topicIdx"":""6"",""wordNum"":""5"",""shortOrLong"":""long"",""best"":[""6-5-histogram-3-long""],""worst"":[""6-5-word-3-long""],""duration"":120.433,""memo"":""real""},{""eID"":""5693919480250368"",""topicIdx"":""8"",""wordNum"":""10"",""shortOrLong"":""long"",""best"":[""8-10-wordcloud-4-long""],""worst"":[""8-10-topic-in-a-box-4-long""],""duration"":60.64,""memo"":""real""},{""eID"":""6134424479465472"",""topicIdx"":""21"",""wordNum"":""20"",""shortOrLong"":""long"",""best"":[""21-20-topic-in-a-box-0-long""],""worst"":[""21-20-word-0-long""],""duration"":46.709,""memo"":""real""}]"
3NLDZZGR,4666532969840640,"[{""eID"":""6509014347153408"",""topicIdx"":""23"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""23-5-histogram-0-short""],""worst"":[""23-5-topic-in-a-box-2-short""],""duration"":62.223,""memo"":""dummy""},{""eID"":""6711918802763776"",""topicIdx"":""18"",""wordNum"":""10"",""shortOrLong"":""long"",""best"":[""18-10-word-3-long""],""worst"":[""18-10-wordcloud-0-long""],""duration"":17.93,""memo"":""real""},{""eID"":""6042424937807872"",""topicIdx"":""36"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""36-5-histogram-4-short""],""worst"":[""36-5-topic-in-a-box-1-short""],""duration"":15.02,""memo"":""real""},{""eID"":""6272130794651648"",""topicIdx"":""21"",""wordNum"":""5"",""shortOrLong"":""short"",""best"":[""21-5-word-4-short""],""worst"":[""21-5-wordcloud-1-short""],""duration"":12.754,""memo"":""real""},{""eID"":""5449816893030400"",""topicIdx"":""25"",""wordNum"":""10"",""shortOrLong"":""short"",""best"":[""25-10-histogram-3-short""],""worst"":[""algorithm""],""duration"":17.557,""memo"":""real""}]"
5RDDGZ7M,4698968294424576,"[{""eID"":""5337948564226048"",""topicIdx"":""24"",""wordNum"":""5"",""shortOrLong"":""long"",""best"":[""24-5-topic-in-a-box-4-long""],""worst"":[""24-5-wordcloud-3-long""],""duration"":133.98,""memo"":""real""},{""eID"":""5243738188152832"",""topicIdx"":""40"",""wordNum"":""20"",""shortOrLong"":""long"",""best"":[""40-20-topic-in-a-box-1-long""],""worst"":[""40-20-word-3-long""],""duration"":39.005,""memo"":""real""},{""eID"":""5743322878443520"",""topicIdx"":""17"",""wordNum"":""5"",""shortOrLong"":""long"",""best"":[""17-5-histogram-0-long""],""worst"":[""17-5-word-4-long""],""duration"":49.195,""memo"":""real""},{""eID"":""6121309259956224"",""topicIdx"":""14"",""wordNum"":""20"",""shortOrLong"":""long"",""best"":[""14-20-word-3-long""],""worst"":[""14-20-topic-in-a-box-1-long""],""duration"":51.381,""memo"":""real""},{""eID"":""5335637066514432"",""topicIdx"":""11"",""wordNum"":""20"",""shortOrLong"":""short"",""best"":[""11-20-wordcloud-4-short""],""worst"":[""11-20-word-2-short""],""duration"":46.951,""memo"":""dummy""}]"
