conf,index,mode
4,0,word
5,0,histogram
4,0,wordcloud
3,0,topic-in-a-box
4,1,word
4,1,histogram
4,1,wordcloud
3,1,topic-in-a-box
3,2,word
4,2,histogram
4,2,wordcloud
5,2,topic-in-a-box
3,3,word
4,3,histogram
4,3,wordcloud
2,3,topic-in-a-box
4,4,word
4,4,histogram
4,4,wordcloud
3,4,topic-in-a-box
3,5,word
2,5,histogram
4,5,wordcloud
4,5,topic-in-a-box
4,6,word
3,6,histogram
4,6,wordcloud
4,6,topic-in-a-box
3,7,word
4,7,histogram
3,7,wordcloud
3,7,topic-in-a-box
3,8,word
4,8,histogram
2,8,wordcloud
3,8,topic-in-a-box
5,9,word
2,9,histogram
5,9,wordcloud
4,9,topic-in-a-box
4,10,word
4,10,histogram
4,10,wordcloud
3,10,topic-in-a-box
3,11,word
4,11,histogram
3,11,wordcloud
4,11,topic-in-a-box
3,12,word
5,12,histogram
4,12,wordcloud
2,12,topic-in-a-box
4,13,word
2,13,histogram
4,13,wordcloud
3,13,topic-in-a-box
3,14,word
4,14,histogram
3,14,wordcloud
3,14,topic-in-a-box
4,15,word
3,15,histogram
5,15,wordcloud
5,15,topic-in-a-box
4,16,word
4,16,histogram
4,16,wordcloud
4,16,topic-in-a-box
3,17,word
4,17,histogram
3,17,wordcloud
3,17,topic-in-a-box
3,18,word
4,18,histogram
4,18,wordcloud
3,18,topic-in-a-box
2,19,word
4,19,histogram
4,19,wordcloud
4,19,topic-in-a-box
4,20,word
4,20,histogram
4,20,wordcloud
3,20,topic-in-a-box
4,21,word
4,21,histogram
4,21,wordcloud
4,21,topic-in-a-box
4,22,word
4,22,histogram
3,22,wordcloud
4,22,topic-in-a-box
3,23,word
2,23,histogram
3,23,wordcloud
4,23,topic-in-a-box
3,24,word
5,24,histogram
4,24,wordcloud
2,24,topic-in-a-box
4,25,word
3,25,histogram
3,25,wordcloud
3,25,topic-in-a-box
4,26,word
4,26,histogram
1,26,wordcloud
5,26,topic-in-a-box
4,27,word
5,27,histogram
3,27,wordcloud
3,27,topic-in-a-box
4,28,word
4,28,histogram
3,28,wordcloud
2,28,topic-in-a-box
3,29,word
4,29,histogram
4,29,wordcloud
4,29,topic-in-a-box
4,30,word
4,30,histogram
3,30,wordcloud
4,30,topic-in-a-box
1,31,word
3,31,histogram
3,31,wordcloud
3,31,topic-in-a-box
3,32,word
3,32,histogram
4,32,wordcloud
4,32,topic-in-a-box
4,33,word
5,33,histogram
3,33,wordcloud
4,33,topic-in-a-box
5,34,word
3,34,histogram
4,34,wordcloud
3,34,topic-in-a-box
4,35,word
4,35,histogram
5,35,wordcloud
4,35,topic-in-a-box
4,36,word
5,36,histogram
5,36,wordcloud
3,36,topic-in-a-box
4,37,word
4,37,histogram
4,37,wordcloud
4,37,topic-in-a-box
5,38,word
3,38,histogram
3,38,wordcloud
1,38,topic-in-a-box
3,39,word
5,39,histogram
2,39,wordcloud
4,39,topic-in-a-box
4,40,word
3,40,histogram
3,40,wordcloud
4,40,topic-in-a-box
2,41,word
4,41,histogram
4,41,wordcloud
4,41,topic-in-a-box
5,42,word
4,42,histogram
3,42,wordcloud
3,42,topic-in-a-box
4,43,word
4,43,histogram
3,43,wordcloud
3,43,topic-in-a-box
3,44,word
5,44,histogram
4,44,wordcloud
4,44,topic-in-a-box
5,45,word
4,45,histogram
4,45,wordcloud
4,45,topic-in-a-box
3,46,word
4,46,histogram
4,46,wordcloud
4,46,topic-in-a-box
3,47,word
4,47,histogram
5,47,wordcloud
3,47,topic-in-a-box
4,48,word
4,48,histogram
3,48,wordcloud
3,48,topic-in-a-box
3,49,word
5,49,histogram
3,49,wordcloud
5,49,topic-in-a-box
3,50,word
5,50,histogram
3,50,wordcloud
5,50,topic-in-a-box
4,51,word
4,51,histogram
4,51,wordcloud
5,51,topic-in-a-box
4,52,word
3,52,histogram
4,52,wordcloud
4,52,topic-in-a-box
5,53,word
4,53,histogram
5,53,wordcloud
3,53,topic-in-a-box
4,54,word
4,54,histogram
4,54,wordcloud
5,54,topic-in-a-box
4,55,word
2,55,histogram
4,55,wordcloud
2,55,topic-in-a-box
4,56,word
3,56,histogram
5,56,wordcloud
4,56,topic-in-a-box
5,57,word
2,57,histogram
5,57,wordcloud
4,57,topic-in-a-box
4,58,word
4,58,histogram
4,58,wordcloud
4,58,topic-in-a-box
4,59,word
3,59,histogram
4,59,wordcloud
4,59,topic-in-a-box
1,60,word
3,60,histogram
4,60,wordcloud
5,60,topic-in-a-box
5,61,word
4,61,histogram
5,61,wordcloud
3,61,topic-in-a-box
5,62,word
4,62,histogram
5,62,wordcloud
3,62,topic-in-a-box
5,63,word
4,63,histogram
4,63,wordcloud
4,63,topic-in-a-box
2,64,word
4,64,histogram
5,64,wordcloud
4,64,topic-in-a-box
4,65,word
3,65,histogram
4,65,wordcloud
3,65,topic-in-a-box
4,66,word
4,66,histogram
4,66,wordcloud
3,66,topic-in-a-box
5,67,word
4,67,histogram
4,67,wordcloud
4,67,topic-in-a-box
4,68,word
4,68,histogram
4,68,wordcloud
4,68,topic-in-a-box
2,69,word
5,69,histogram
4,69,wordcloud
4,69,topic-in-a-box
3,70,word
4,70,histogram
4,70,wordcloud
3,70,topic-in-a-box
2,71,word
2,71,histogram
4,71,wordcloud
3,71,topic-in-a-box
5,72,word
3,72,histogram
4,72,wordcloud
4,72,topic-in-a-box
3,73,word
4,73,histogram
4,73,wordcloud
4,73,topic-in-a-box
5,74,word
4,74,histogram
5,74,wordcloud
5,74,topic-in-a-box
1,75,word
4,75,histogram
4,75,wordcloud
4,75,topic-in-a-box
4,76,word
2,76,histogram
4,76,wordcloud
2,76,topic-in-a-box
1,77,word
3,77,histogram
4,77,wordcloud
4,77,topic-in-a-box
4,78,word
5,78,histogram
4,78,wordcloud
5,78,topic-in-a-box
3,79,word
4,79,histogram
5,79,wordcloud
4,79,topic-in-a-box
2,80,word
4,80,histogram
4,80,wordcloud
4,80,topic-in-a-box
4,81,word
4,81,histogram
3,81,wordcloud
4,81,topic-in-a-box
5,82,word
3,82,histogram
4,82,wordcloud
4,82,topic-in-a-box
3,83,word
4,83,histogram
4,83,wordcloud
5,83,topic-in-a-box
4,84,word
4,84,histogram
4,84,wordcloud
2,84,topic-in-a-box
5,85,word
2,85,histogram
5,85,wordcloud
5,85,topic-in-a-box
4,86,word
4,86,histogram
4,86,wordcloud
3,86,topic-in-a-box
5,87,word
4,87,histogram
4,87,wordcloud
5,87,topic-in-a-box
4,88,word
4,88,histogram
4,88,wordcloud
4,88,topic-in-a-box
2,89,word
4,89,histogram
4,89,wordcloud
3,89,topic-in-a-box
4,90,word
4,90,histogram
3,90,wordcloud
4,90,topic-in-a-box
4,91,word
4,91,histogram
4,91,wordcloud
4,91,topic-in-a-box
4,92,word
2,92,histogram
5,92,wordcloud
2,92,topic-in-a-box
4,93,word
4,93,histogram
4,93,wordcloud
3,93,topic-in-a-box
2,94,word
4,94,histogram
3,94,wordcloud
4,94,topic-in-a-box
2,95,word
3,95,histogram
3,95,wordcloud
4,95,topic-in-a-box
3,96,word
4,96,histogram
3,96,wordcloud
4,96,topic-in-a-box
4,97,word
4,97,histogram
3,97,wordcloud
4,97,topic-in-a-box
5,98,word
4,98,histogram
4,98,wordcloud
4,98,topic-in-a-box
3,99,word
3,99,histogram
4,99,wordcloud
3,99,topic-in-a-box
5,100,word
2,100,histogram
3,100,wordcloud
4,100,topic-in-a-box
3,101,word
4,101,histogram
2,101,wordcloud
3,101,topic-in-a-box
4,102,word
5,102,histogram
2,102,wordcloud
4,102,topic-in-a-box
4,103,word
2,103,histogram
3,103,wordcloud
5,103,topic-in-a-box
5,104,word
3,104,histogram
5,104,wordcloud
4,104,topic-in-a-box
2,105,word
4,105,histogram
4,105,wordcloud
4,105,topic-in-a-box
3,106,word
5,106,histogram
4,106,wordcloud
3,106,topic-in-a-box
5,107,word
3,107,histogram
4,107,wordcloud
3,107,topic-in-a-box
4,108,word
2,108,histogram
4,108,wordcloud
5,108,topic-in-a-box
4,109,word
4,109,histogram
4,109,wordcloud
4,109,topic-in-a-box
3,110,word
4,110,histogram
5,110,wordcloud
5,110,topic-in-a-box
4,111,word
4,111,histogram
3,111,wordcloud
4,111,topic-in-a-box
3,112,word
3,112,histogram
4,112,wordcloud
5,112,topic-in-a-box
5,113,word
5,113,histogram
1,113,wordcloud
3,113,topic-in-a-box
4,114,word
3,114,histogram
3,114,wordcloud
3,114,topic-in-a-box
4,115,word
4,115,histogram
4,115,wordcloud
3,115,topic-in-a-box
4,116,word
4,116,histogram
3,116,wordcloud
4,116,topic-in-a-box
4,117,word
5,117,histogram
3,117,wordcloud
4,117,topic-in-a-box
3,118,word
2,118,histogram
5,118,wordcloud
3,118,topic-in-a-box
3,119,word
3,119,histogram
4,119,wordcloud
4,119,topic-in-a-box
4,120,word
4,120,histogram
4,120,wordcloud
4,120,topic-in-a-box
4,121,word
4,121,histogram
2,121,wordcloud
3,121,topic-in-a-box
4,122,word
3,122,histogram
4,122,wordcloud
4,122,topic-in-a-box
3,123,word
3,123,histogram
5,123,wordcloud
5,123,topic-in-a-box
3,124,word
3,124,histogram
2,124,wordcloud
3,124,topic-in-a-box
4,125,word
5,125,histogram
4,125,wordcloud
2,125,topic-in-a-box
2,126,word
4,126,histogram
4,126,wordcloud
4,126,topic-in-a-box
4,127,word
2,127,histogram
2,127,wordcloud
3,127,topic-in-a-box
3,128,word
4,128,histogram
4,128,wordcloud
3,128,topic-in-a-box
4,129,word
3,129,histogram
4,129,wordcloud
4,129,topic-in-a-box
3,130,word
4,130,histogram
4,130,wordcloud
3,130,topic-in-a-box
4,131,word
4,131,histogram
5,131,wordcloud
5,131,topic-in-a-box
4,132,word
4,132,histogram
2,132,wordcloud
4,132,topic-in-a-box
1,133,word
4,133,histogram
3,133,wordcloud
4,133,topic-in-a-box
1,134,word
4,134,histogram
4,134,wordcloud
4,134,topic-in-a-box
2,135,word
3,135,histogram
3,135,wordcloud
3,135,topic-in-a-box
3,136,word
4,136,histogram
4,136,wordcloud
2,136,topic-in-a-box
4,137,word
4,137,histogram
4,137,wordcloud
3,137,topic-in-a-box
4,138,word
3,138,histogram
3,138,wordcloud
3,138,topic-in-a-box
4,139,word
3,139,histogram
5,139,wordcloud
4,139,topic-in-a-box
3,140,word
4,140,histogram
4,140,wordcloud
3,140,topic-in-a-box
4,141,word
4,141,histogram
1,141,wordcloud
4,141,topic-in-a-box
2,142,word
4,142,histogram
3,142,wordcloud
5,142,topic-in-a-box
3,143,word
5,143,histogram
3,143,wordcloud
3,143,topic-in-a-box
3,144,word
3,144,histogram
4,144,wordcloud
4,144,topic-in-a-box
3,145,word
4,145,histogram
3,145,wordcloud
4,145,topic-in-a-box
4,146,word
5,146,histogram
4,146,wordcloud
2,146,topic-in-a-box
4,147,word
3,147,histogram
3,147,wordcloud
3,147,topic-in-a-box
3,148,word
4,148,histogram
4,148,wordcloud
5,148,topic-in-a-box
4,149,word
2,149,histogram
4,149,wordcloud
3,149,topic-in-a-box
3,150,word
4,150,histogram
3,150,wordcloud
4,150,topic-in-a-box
3,151,word
4,151,histogram
5,151,wordcloud
4,151,topic-in-a-box
4,152,word
3,152,histogram
4,152,wordcloud
4,152,topic-in-a-box
4,153,word
5,153,histogram
4,153,wordcloud
5,153,topic-in-a-box
4,154,word
4,154,histogram
5,154,wordcloud
4,154,topic-in-a-box
4,155,word
5,155,histogram
4,155,wordcloud
4,155,topic-in-a-box
4,156,word
4,156,histogram
1,156,wordcloud
4,156,topic-in-a-box
4,157,word
4,157,histogram
3,157,wordcloud
2,157,topic-in-a-box
5,158,word
3,158,histogram
5,158,wordcloud
5,158,topic-in-a-box
4,159,word
5,159,histogram
4,159,wordcloud
4,159,topic-in-a-box
4,160,word
3,160,histogram
4,160,wordcloud
3,160,topic-in-a-box
4,161,word
3,161,histogram
4,161,wordcloud
4,161,topic-in-a-box
4,162,word
3,162,histogram
3,162,wordcloud
4,162,topic-in-a-box
3,163,word
3,163,histogram
2,163,wordcloud
5,163,topic-in-a-box
4,164,word
5,164,histogram
4,164,wordcloud
3,164,topic-in-a-box
3,165,word
4,165,histogram
5,165,wordcloud
4,165,topic-in-a-box
4,166,word
4,166,histogram
3,166,wordcloud
3,166,topic-in-a-box
3,167,word
3,167,histogram
3,167,wordcloud
5,167,topic-in-a-box
4,168,word
4,168,histogram
4,168,wordcloud
2,168,topic-in-a-box
3,169,word
4,169,histogram
2,169,wordcloud
4,169,topic-in-a-box
4,170,word
4,170,histogram
4,170,wordcloud
4,170,topic-in-a-box
4,171,word
4,171,histogram
4,171,wordcloud
5,171,topic-in-a-box
4,172,word
3,172,histogram
4,172,wordcloud
4,172,topic-in-a-box
3,173,word
4,173,histogram
5,173,wordcloud
4,173,topic-in-a-box
4,174,word
5,174,histogram
4,174,wordcloud
2,174,topic-in-a-box
3,175,word
4,175,histogram
4,175,wordcloud
2,175,topic-in-a-box
4,176,word
4,176,histogram
5,176,wordcloud
2,176,topic-in-a-box
3,177,word
2,177,histogram
4,177,wordcloud
4,177,topic-in-a-box
4,178,word
4,178,histogram
5,178,wordcloud
4,178,topic-in-a-box
3,179,word
3,179,histogram
4,179,wordcloud
4,179,topic-in-a-box
2,180,word
4,180,histogram
4,180,wordcloud
4,180,topic-in-a-box
4,181,word
4,181,histogram
4,181,wordcloud
2,181,topic-in-a-box
3,182,word
4,182,histogram
4,182,wordcloud
2,182,topic-in-a-box
4,183,word
4,183,histogram
3,183,wordcloud
3,183,topic-in-a-box
4,184,word
3,184,histogram
3,184,wordcloud
3,184,topic-in-a-box
3,185,word
4,185,histogram
4,185,wordcloud
4,185,topic-in-a-box
2,186,word
5,186,histogram
3,186,wordcloud
4,186,topic-in-a-box
5,187,word
5,187,histogram
2,187,wordcloud
3,187,topic-in-a-box
3,188,word
3,188,histogram
2,188,wordcloud
3,188,topic-in-a-box
3,189,word
4,189,histogram
3,189,wordcloud
3,189,topic-in-a-box
4,190,word
4,190,histogram
4,190,wordcloud
4,190,topic-in-a-box
4,191,word
3,191,histogram
4,191,wordcloud
4,191,topic-in-a-box
4,192,word
3,192,histogram
3,192,wordcloud
4,192,topic-in-a-box
4,193,word
3,193,histogram
4,193,wordcloud
4,193,topic-in-a-box
5,194,word
3,194,histogram
2,194,wordcloud
4,194,topic-in-a-box
1,195,word
4,195,histogram
3,195,wordcloud
4,195,topic-in-a-box
3,196,word
3,196,histogram
4,196,wordcloud
4,196,topic-in-a-box
3,197,word
5,197,histogram
2,197,wordcloud
4,197,topic-in-a-box
4,198,word
4,198,histogram
3,198,wordcloud
4,198,topic-in-a-box
4,199,word
4,199,histogram
3,199,wordcloud
5,199,topic-in-a-box
5,200,word
1,200,histogram
5,200,wordcloud
4,200,topic-in-a-box
3,201,word
1,201,histogram
4,201,wordcloud
4,201,topic-in-a-box
3,202,word
2,202,histogram
4,202,wordcloud
4,202,topic-in-a-box
3,203,word
4,203,histogram
4,203,wordcloud
4,203,topic-in-a-box
4,204,word
4,204,histogram
4,204,wordcloud
5,204,topic-in-a-box
3,205,word
3,205,histogram
4,205,wordcloud
5,205,topic-in-a-box
2,206,word
4,206,histogram
3,206,wordcloud
3,206,topic-in-a-box
5,207,word
3,207,histogram
3,207,wordcloud
4,207,topic-in-a-box
4,208,word
4,208,histogram
5,208,wordcloud
4,208,topic-in-a-box
4,209,word
4,209,histogram
3,209,wordcloud
4,209,topic-in-a-box
2,210,word
4,210,histogram
3,210,wordcloud
4,210,topic-in-a-box
4,211,word
5,211,histogram
4,211,wordcloud
3,211,topic-in-a-box
4,212,word
4,212,histogram
3,212,wordcloud
4,212,topic-in-a-box
2,213,word
5,213,histogram
4,213,wordcloud
4,213,topic-in-a-box
3,214,word
4,214,histogram
2,214,wordcloud
3,214,topic-in-a-box
5,215,word
4,215,histogram
2,215,wordcloud
3,215,topic-in-a-box
2,216,word
3,216,histogram
2,216,wordcloud
4,216,topic-in-a-box
4,217,word
3,217,histogram
4,217,wordcloud
2,217,topic-in-a-box
5,218,word
2,218,histogram
2,218,wordcloud
3,218,topic-in-a-box
2,219,word
4,219,histogram
3,219,wordcloud
5,219,topic-in-a-box
4,220,word
4,220,histogram
3,220,wordcloud
4,220,topic-in-a-box
4,221,word
4,221,histogram
2,221,wordcloud
4,221,topic-in-a-box
3,222,word
5,222,histogram
4,222,wordcloud
5,222,topic-in-a-box
3,223,word
3,223,histogram
4,223,wordcloud
2,223,topic-in-a-box
3,224,word
4,224,histogram
3,224,wordcloud
4,224,topic-in-a-box
4,225,word
4,225,histogram
5,225,wordcloud
3,225,topic-in-a-box
4,226,word
4,226,histogram
5,226,wordcloud
4,226,topic-in-a-box
5,227,word
3,227,histogram
3,227,wordcloud
4,227,topic-in-a-box
5,228,word
3,228,histogram
2,228,wordcloud
3,228,topic-in-a-box
3,229,word
4,229,histogram
4,229,wordcloud
4,229,topic-in-a-box
4,230,word
3,230,histogram
3,230,wordcloud
4,230,topic-in-a-box
3,231,word
4,231,histogram
4,231,wordcloud
2,231,topic-in-a-box
4,232,word
4,232,histogram
3,232,wordcloud
3,232,topic-in-a-box
3,233,word
4,233,histogram
4,233,wordcloud
3,233,topic-in-a-box
4,234,word
5,234,histogram
4,234,wordcloud
4,234,topic-in-a-box
5,235,word
4,235,histogram
4,235,wordcloud
3,235,topic-in-a-box
4,236,word
4,236,histogram
5,236,wordcloud
4,236,topic-in-a-box
2,237,word
4,237,histogram
4,237,wordcloud
4,237,topic-in-a-box
4,238,word
3,238,histogram
4,238,wordcloud
5,238,topic-in-a-box
4,239,word
3,239,histogram
1,239,wordcloud
2,239,topic-in-a-box
3,240,word
4,240,histogram
4,240,wordcloud
2,240,topic-in-a-box
5,241,word
2,241,histogram
4,241,wordcloud
4,241,topic-in-a-box
4,242,word
4,242,histogram
3,242,wordcloud
3,242,topic-in-a-box
4,243,word
3,243,histogram
4,243,wordcloud
4,243,topic-in-a-box
4,244,word
4,244,histogram
2,244,wordcloud
4,244,topic-in-a-box
4,245,word
4,245,histogram
4,245,wordcloud
4,245,topic-in-a-box
4,246,word
4,246,histogram
3,246,wordcloud
4,246,topic-in-a-box
4,247,word
4,247,histogram
5,247,wordcloud
4,247,topic-in-a-box
3,248,word
4,248,histogram
4,248,wordcloud
2,248,topic-in-a-box
3,249,word
4,249,histogram
5,249,wordcloud
4,249,topic-in-a-box
4,250,word
4,250,histogram
3,250,wordcloud
4,250,topic-in-a-box
4,251,word
3,251,histogram
4,251,wordcloud
3,251,topic-in-a-box
4,252,word
4,252,histogram
4,252,wordcloud
3,252,topic-in-a-box
3,253,word
4,253,histogram
4,253,wordcloud
4,253,topic-in-a-box
3,254,word
4,254,histogram
3,254,wordcloud
4,254,topic-in-a-box
5,255,word
4,255,histogram
5,255,wordcloud
4,255,topic-in-a-box
4,256,word
4,256,histogram
1,256,wordcloud
2,256,topic-in-a-box
4,257,word
2,257,histogram
5,257,wordcloud
4,257,topic-in-a-box
5,258,word
4,258,histogram
4,258,wordcloud
5,258,topic-in-a-box
4,259,word
4,259,histogram
2,259,wordcloud
4,259,topic-in-a-box
