topicIdx,visualization,cardinality,avgSharedTerms
0,word,5,1.4444444444444444
1,word,5,1.6
2,word,5,1.125
3,word,5,0.3333333333333333
4,word,5,1.0
5,word,5,2.0
6,word,5,1.5
7,word,5,1.4
8,word,5,0.8
9,word,5,2.6
10,word,5,2.2
11,word,5,3.2
12,word,5,2.0
13,word,5,4.4
14,word,5,1.8
15,word,5,1.6
16,word,5,1.6
17,word,5,1.4
18,word,5,0.0
19,word,5,1.0
20,word,5,2.2
21,word,5,2.6
22,word,5,2.2
23,word,5,1.6
24,word,5,1.8
25,word,5,1.0
26,word,5,2.8
27,word,5,1.6
28,word,5,2.8
29,word,5,1.8
30,word,5,1.4
31,word,5,1.2
32,word,5,1.6
33,word,5,2.4
34,word,5,1.8
35,word,5,1.6
36,word,5,2.0
37,word,5,1.2
38,word,5,1.8
39,word,5,1.0
40,word,5,2.2
41,word,5,1.4
42,word,5,2.2
43,word,5,2.4
44,word,5,2.3333333333333335
45,word,5,1.6
46,word,5,1.3333333333333333
47,word,5,3.0
48,word,5,2.4
49,word,5,2.6
0,histogram,5,2.5
1,histogram,5,2.6
2,histogram,5,2.4444444444444446
3,histogram,5,1.0
4,histogram,5,1.0
5,histogram,5,1.2
6,histogram,5,2.6
7,histogram,5,1.6
8,histogram,5,0.4
9,histogram,5,1.8
10,histogram,5,2.2
11,histogram,5,2.2
12,histogram,5,1.0
13,histogram,5,3.4
14,histogram,5,2.2
15,histogram,5,1.0
16,histogram,5,1.2
17,histogram,5,3.2
18,histogram,5,3.8
19,histogram,5,4.0
20,histogram,5,2.1666666666666665
21,histogram,5,2.2
22,histogram,5,1.2
23,histogram,5,0.6
24,histogram,5,2.5
25,histogram,5,2.0
26,histogram,5,2.0
27,histogram,5,2.0
28,histogram,5,2.2
29,histogram,5,2.2
30,histogram,5,1.8
31,histogram,5,1.0
32,histogram,5,1.6
33,histogram,5,2.0
34,histogram,5,1.8
35,histogram,5,1.0
36,histogram,5,1.2
37,histogram,5,1.0
38,histogram,5,1.2
39,histogram,5,1.6
40,histogram,5,1.8
41,histogram,5,1.6
42,histogram,5,1.1666666666666667
43,histogram,5,1.2
44,histogram,5,1.0
45,histogram,5,1.4
46,histogram,5,2.6
47,histogram,5,2.8
48,histogram,5,2.8
49,histogram,5,3.0
0,wordcloud,5,2.230769230769231
1,wordcloud,5,3.0
2,wordcloud,5,2.1
3,wordcloud,5,0.7
4,wordcloud,5,2.0
5,wordcloud,5,3.0
6,wordcloud,5,2.6
7,wordcloud,5,1.8
8,wordcloud,5,0.6
9,wordcloud,5,2.4
10,wordcloud,5,2.2
11,wordcloud,5,2.0
12,wordcloud,5,3.0
13,wordcloud,5,4.0
14,wordcloud,5,1.6
15,wordcloud,5,1.4
16,wordcloud,5,2.2
17,wordcloud,5,3.6
18,wordcloud,5,0.4
19,wordcloud,5,1.4
20,wordcloud,5,2.8
21,wordcloud,5,1.8
22,wordcloud,5,1.2
23,wordcloud,5,2.4
24,wordcloud,5,2.0
25,wordcloud,5,3.4
26,wordcloud,5,3.0
27,wordcloud,5,1.8
28,wordcloud,5,2.8
29,wordcloud,5,2.2
30,wordcloud,5,2.2
31,wordcloud,5,2.2
32,wordcloud,5,1.0
33,wordcloud,5,1.8
34,wordcloud,5,1.6
35,wordcloud,5,1.0
36,wordcloud,5,2.2
37,wordcloud,5,2.2
38,wordcloud,5,1.8
39,wordcloud,5,1.2
40,wordcloud,5,2.2
41,wordcloud,5,3.4
42,wordcloud,5,1.2
43,wordcloud,5,0.8
44,wordcloud,5,2.4
45,wordcloud,5,1.8
46,wordcloud,5,3.4
47,wordcloud,5,2.6
48,wordcloud,5,2.4
49,wordcloud,5,2.8
0,topic-in-a-box,5,1.4
1,topic-in-a-box,5,2.5
2,topic-in-a-box,5,2.0
3,topic-in-a-box,5,1.0
4,topic-in-a-box,5,2.4
5,topic-in-a-box,5,2.0
6,topic-in-a-box,5,1.6666666666666667
7,topic-in-a-box,5,1.1666666666666667
8,topic-in-a-box,5,2.0
9,topic-in-a-box,5,3.0
10,topic-in-a-box,5,3.1666666666666665
11,topic-in-a-box,5,3.2
12,topic-in-a-box,5,1.0
13,topic-in-a-box,5,2.6
14,topic-in-a-box,5,3.0
15,topic-in-a-box,5,2.6
16,topic-in-a-box,5,2.2
17,topic-in-a-box,5,2.2
18,topic-in-a-box,5,1.8
19,topic-in-a-box,5,2.6
20,topic-in-a-box,5,2.0
21,topic-in-a-box,5,1.2
22,topic-in-a-box,5,2.2
23,topic-in-a-box,5,2.5
24,topic-in-a-box,5,3.1666666666666665
25,topic-in-a-box,5,1.8
26,topic-in-a-box,5,2.5
27,topic-in-a-box,5,1.8333333333333333
28,topic-in-a-box,5,2.6
29,topic-in-a-box,5,2.2
30,topic-in-a-box,5,1.8
31,topic-in-a-box,5,2.0
32,topic-in-a-box,5,3.0
33,topic-in-a-box,5,2.2
34,topic-in-a-box,5,2.2
35,topic-in-a-box,5,1.6
