topicIdx,visualization,cardinality,avgSharedTerms
0,word,5,0.6666666666666666
1,word,5,0.8
2,word,5,0.5
3,word,5,0.0
4,word,5,0.2
5,word,5,1.8
6,word,5,1.0
7,word,5,1.0
8,word,5,0.6
9,word,5,1.2
10,word,5,2.2
11,word,5,0.4
12,word,5,2.0
13,word,5,2.0
14,word,5,0.8
15,word,5,1.2
16,word,5,1.0
17,word,5,0.8
18,word,5,0.6
19,word,5,1.0
20,word,5,0.8
21,word,5,1.6
22,word,5,1.0
23,word,5,1.0
24,word,5,1.2
25,word,5,1.0
26,word,5,1.8
27,word,5,0.8
28,word,5,1.0
29,word,5,1.2
30,word,5,1.0
31,word,5,0.8
32,word,5,0.0
33,word,5,0.4
34,word,5,0.8
35,word,5,1.2
36,word,5,0.42857142857142855
37,word,5,0.6
38,word,5,0.0
39,word,5,0.8
40,word,5,0.8
41,word,5,0.8
42,word,5,1.2
43,word,5,0.0
44,word,5,0.8333333333333334
45,word,5,0.8
46,word,5,1.0
47,word,5,1.6
48,word,5,1.6
49,word,5,1.4
0,histogram,5,0.8
1,histogram,5,0.6
2,histogram,5,0.7777777777777778
3,histogram,5,0.5714285714285714
4,histogram,5,0.0
5,histogram,5,0.6
6,histogram,5,0.4
7,histogram,5,1.6
8,histogram,5,0.2
9,histogram,5,1.2
10,histogram,5,2.0
11,histogram,5,1.4
12,histogram,5,0.6
13,histogram,5,1.0
14,histogram,5,1.4
15,histogram,5,1.0
16,histogram,5,0.8
17,histogram,5,2.2
18,histogram,5,0.0
19,histogram,5,1.2
20,histogram,5,0.6666666666666666
21,histogram,5,1.6
22,histogram,5,1.0
23,histogram,5,0.4
24,histogram,5,1.3333333333333333
25,histogram,5,1.6
26,histogram,5,1.6
27,histogram,5,1.4
28,histogram,5,0.6
29,histogram,5,1.0
30,histogram,5,0.6
31,histogram,5,0.8
32,histogram,5,0.8
33,histogram,5,1.2
34,histogram,5,0.8
35,histogram,5,0.8
36,histogram,5,0.4
37,histogram,5,0.4
38,histogram,5,0.0
39,histogram,5,0.6
40,histogram,5,1.6
41,histogram,5,1.2
42,histogram,5,0.5
43,histogram,5,0.2
44,histogram,5,0.4
45,histogram,5,1.4
46,histogram,5,0.6
47,histogram,5,1.6
48,histogram,5,1.6
49,histogram,5,1.6
0,wordcloud,5,0.8461538461538461
1,wordcloud,5,1.8
2,wordcloud,5,0.6
3,wordcloud,5,0.2
4,wordcloud,5,0.4
5,wordcloud,5,1.2
6,wordcloud,5,0.4
7,wordcloud,5,1.4
8,wordcloud,5,1.0
9,wordcloud,5,1.2
10,wordcloud,5,1.4
11,wordcloud,5,0.4
12,wordcloud,5,0.8
13,wordcloud,5,1.2
14,wordcloud,5,1.0
15,wordcloud,5,1.0
16,wordcloud,5,1.0
17,wordcloud,5,1.2
18,wordcloud,5,0.2
19,wordcloud,5,1.0
20,wordcloud,5,1.6
21,wordcloud,5,1.0
22,wordcloud,5,1.0
23,wordcloud,5,0.8
24,wordcloud,5,1.4
25,wordcloud,5,2.0
26,wordcloud,5,1.6
27,wordcloud,5,1.4
28,wordcloud,5,1.2
29,wordcloud,5,1.4
30,wordcloud,5,0.6
31,wordcloud,5,1.4
32,wordcloud,5,0.8
33,wordcloud,5,0.6
34,wordcloud,5,0.2
35,wordcloud,5,1.0
36,wordcloud,5,1.0
37,wordcloud,5,0.2
38,wordcloud,5,0.4
39,wordcloud,5,0.8
40,wordcloud,5,1.4
41,wordcloud,5,1.2
42,wordcloud,5,0.4
43,wordcloud,5,0.2
44,wordcloud,5,0.4
45,wordcloud,5,1.2
46,wordcloud,5,0.4
